dongcode,dong,csvcount
11110600,가회동,8
11110580,교남동,15
11110570,무악동,5
11110550,부암동,15
11110530,사직동,28
11110540,삼청동,7
11110700,숭인1동,7
11110710,숭인2동,28
11110640,이화동,22
11110615,종로1.2.3.4가동,117
11110630,종로5.6가동,26
11110670,창신1동,11
11110680,창신2동,3
11110690,창신3동,3
11110515,청운효자동,12
11110560,평창동,16
11110650,혜화동,38
11140590,광희동,48
11140625,다산동,18
11140665,동화동,14
11140550,명동,91
11140520,소공동,53
11140650,신당5동,10
11140615,신당동,35
11140635,약수동,12
11140605,을지로동,34
11140580,장충동,17
11140680,중림동,14
11140645,청구동,7
11140570,필동,33
11140670,황학동,14
11140540,회현동,45
